Role1,State,Year,Type,Perc
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,24.69135802
Farmer,Wisconsin,2017,Xtend,100
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,100
,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,100
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,30
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,24.69135802
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,3.326197925
Farmer,Wisconsin,2017,Xtend,66.43835616
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,16.66666667
Decision influencer,Wisconsin,2017,Xtend,10.00246975
Decision influencer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,100
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,0
Decision influencer,Wisconsin,2017,Xtend,1.975308642
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,3.294892916
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,7.142857143
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,22.86995516
Farmer,Wisconsin,2017,Xtend,13.16872428
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
Farmer,Wisconsin,2017,Xtend,0
