"","Role1","State","SoyH17","SoyH18","SoyH19","XtR17","XtR18","XtR19","PRE17","PRE18","PRE19","POST17","POST18","POST19"
"1","Farmer","Wisconsin",18,36,81,NA,NA,24.6913580246914,NA,NA,NA,NA,NA,NA
"2","Decision influencer","Wisconsin",1417,1417,1417,0,0,0,0,0,0,0,0,0
"3","Farmer","Wisconsin",81,101,91,24.6913580246914,19.8019801980198,NA,0,0,0,0,0,NA
"4","Farmer","Wisconsin",49,275,101,100,44,NA,12.2448979591837,0,80.1980198019802,0,17.8181818181818,100.21245039604
"5","Farmer","Wisconsin",891,1134,1012,0,0,0,0,0,0,0,0,0
"6","Farmer","Wisconsin",263,263,263,0,0,NA,0,0,0,0,0,0
"7","Farmer","Wisconsin",126,123,121,0,46.3414634146341,50.4132231404959,0,0,50.4132231404959,0,0,0
"8","Farmer","Wisconsin",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Farmer","Wisconsin",132,121,132,0,0,0,0,0,0,NA,NA,NA
"10","Farmer","Wisconsin",8,0,0,0,NA,NA,0,NA,NA,0,NA,NA
"11","Farmer","Wisconsin",101,101,101,100,100,100,0,0,0,0,0,0
"12","Farmer","Wisconsin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","","Wisconsin",101,101,101,0,0,0,0,0,0,0,0,0
"14","Farmer","Wisconsin",49,0,0,0,NA,NA,0,NA,NA,0,NA,NA
"15","Decision influencer","Wisconsin",2024,2429,2429,0,2.51132153149444,3.33470564018114,0,0,0,0,0,0
"16","Farmer","Wisconsin",162,148,148,0,54.7297297297297,100,0,0,0,0,0,99.8468104054054
"17","Farmer","Wisconsin",121,121,121,0,100,100,0,100,NA,0,0,0
"18","Farmer","Wisconsin",575,587,577,0,10.3918228279387,70.1906412478336,0,0,0,0,4.08858603066439,70.1660831195841
"19","Farmer","Wisconsin",32,24,32,100,100,NA,59.375,0,0,59.375,0,NA
"20","Farmer","Wisconsin",51,51,NA,0,NA,NA,0,0,NA,0,0,NA
"21","Farmer","Wisconsin",16,8,8,0,100,100,0,100,NA,0,0,NA
"22","Farmer","Wisconsin",24,34,28,0,0,0,0,0,0,0,0,0
"23","Farmer","Wisconsin",71,81,81,0,0,0,0,0,0,0,0,0
"24","Farmer","Wisconsin",61,89,81,0,17.9775280898876,NA,0,0,0,0,0,NA
"25","Farmer","Wisconsin",283,283,162,0,100,100,0,0,0,0,0,0
"26","","Wisconsin",1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Farmer","Wisconsin",657,749,607,0,0,33.2784184514003,0,0,33.2784184514003,0,0,33.349118583196
"28","Farmer","Wisconsin",142,142,142,0,16.9014084507042,16.9014084507042,0,0,0,0,0,0
"29","Farmer","Wisconsin",202,202,202,0,0,100,0,0,100,0,0,0
"30","Farmer","Wisconsin",36,34,34,0,0,0,0,0,0,0,0,0
