"","long","lat","group","order","region","subregion"
"49149",-98.7263565063477,40.697193145752,1622,49149,"nebraska","adams"
"49150",-98.2966384887695,40.697193145752,1622,49150,"nebraska","adams"
"49151",-98.2909088134766,40.3362274169922,1622,49151,"nebraska","adams"
"49152",-98.7320861816406,40.3476905822754,1622,49152,"nebraska","adams"
"49153",-98.7263565063477,40.697193145752,1622,49153,"nebraska","adams"
"49155",-97.8382720947266,42.4160652160645,1623,49155,"nebraska","antelope"
"49156",-97.8382720947266,42.0665626525879,1623,49156,"nebraska","antelope"
"49157",-97.8382720947266,41.8946723937988,1623,49157,"nebraska","antelope"
"49158",-98.2966384887695,41.8946723937988,1623,49158,"nebraska","antelope"
"49159",-98.2966384887695,42.0837478637695,1623,49159,"nebraska","antelope"
"49160",-98.3023681640625,42.0837478637695,1623,49160,"nebraska","antelope"
"49161",-98.3080978393555,42.4160652160645,1623,49161,"nebraska","antelope"
"49162",-97.8382720947266,42.4160652160645,1623,49162,"nebraska","antelope"
"49164",-101.424987792969,41.7399749755859,1624,49164,"nebraska","arthur"
"49165",-101.40779876709,41.7457046508789,1624,49165,"nebraska","arthur"
"49166",-101.40779876709,41.3962020874023,1624,49166,"nebraska","arthur"
"49167",-101.980758666992,41.3904724121094,1624,49167,"nebraska","arthur"
"49168",-101.980758666992,41.734245300293,1624,49168,"nebraska","arthur"
"49169",-101.424987792969,41.7399749755859,1624,49169,"nebraska","arthur"
"49171",-103.355857849121,41.7113265991211,1625,49171,"nebraska","banner"
"49172",-103.355857849121,41.4305801391602,1625,49172,"nebraska","banner"
"49173",-103.361587524414,41.3904724121094,1625,49173,"nebraska","banner"
"49174",-104.060592651367,41.3962020874023,1625,49174,"nebraska","banner"
"49175",-104.060592651367,41.5623550415039,1625,49175,"nebraska","banner"
"49176",-104.060592651367,41.6998672485352,1625,49176,"nebraska","banner"
"49177",-103.355857849121,41.7113265991211,1625,49177,"nebraska","banner"
"49179",-100.256149291992,41.7457046508789,1626,49179,"nebraska","blaine"
"49180",-100.273345947266,42.0894813537598,1626,49180,"nebraska","blaine"
"49181",-100.175941467285,42.0894813537598,1626,49181,"nebraska","blaine"
"49182",-99.6889266967773,42.0894813537598,1626,49182,"nebraska","blaine"
"49183",-99.6889266967773,41.7399749755859,1626,49183,"nebraska","blaine"
"49184",-100.256149291992,41.7457046508789,1626,49184,"nebraska","blaine"
"49186",-97.8382720947266,41.5222511291504,1627,49186,"nebraska","boone"
"49187",-97.8898391723633,41.5222511291504,1627,49187,"nebraska","boone"
"49188",-97.8898391723633,41.5107917785645,1627,49188,"nebraska","boone"
"49189",-98.0502700805664,41.5050621032715,1627,49189,"nebraska","boone"
"49190",-98.0502700805664,41.4878730773926,1627,49190,"nebraska","boone"
"49191",-98.1075592041016,41.4878730773926,1627,49191,"nebraska","boone"
"49192",-98.1075592041016,41.4764175415039,1627,49192,"nebraska","boone"
"49193",-98.2966384887695,41.4764175415039,1627,49193,"nebraska","boone"
"49194",-98.2966384887695,41.734245300293,1627,49194,"nebraska","boone"
"49195",-98.2966384887695,41.8946723937988,1627,49195,"nebraska","boone"
"49196",-97.8382720947266,41.8946723937988,1627,49196,"nebraska","boone"
"49197",-97.8325424194336,41.734245300293,1627,49197,"nebraska","boone"
"49198",-97.8382720947266,41.5222511291504,1627,49198,"nebraska","boone"
"49200",-102.702682495117,42.0092658996582,1628,49200,"nebraska","box butte"
"49201",-103.344398498535,42.0035362243652,1628,49201,"nebraska","box butte"
"49202",-103.395965576172,42.0035362243652,1628,49202,"nebraska","box butte"
"49203",-103.395965576172,42.0837478637695,1628,49203,"nebraska","box butte"
"49204",-103.436073303223,42.0837478637695,1628,49204,"nebraska","box butte"
"49205",-103.436073303223,42.4332542419434,1628,49205,"nebraska","box butte"
"49206",-102.759979248047,42.4332542419434,1628,49206,"nebraska","box butte"
"49207",-102.731330871582,42.4389839172363,1628,49207,"nebraska","box butte"
"49208",-102.725601196289,42.0837478637695,1628,49208,"nebraska","box butte"
"49209",-102.685493469238,42.0837478637695,1628,49209,"nebraska","box butte"
"49210",-102.702682495117,42.0092658996582,1628,49210,"nebraska","box butte"
"49212",-99.2649383544922,42.8056755065918,1629,49212,"nebraska","boyd"
"49213",-99.2649383544922,42.9947547912598,1629,49213,"nebraska","boyd"
"49214",-98.5143661499023,42.9947547912598,1629,49214,"nebraska","boyd"
"49215",-98.5029067993164,42.9947547912598,1629,49215,"nebraska","boyd"
"49216",-98.47998046875,42.9832916259766,1629,49216,"nebraska","boyd"
"49217",-98.4685287475586,42.954647064209,1629,49217,"nebraska","boyd"
"49218",-98.4570693969727,42.9431838989258,1629,49218,"nebraska","boyd"
"49219",-98.4169616699219,42.9317283630371,1629,49219,"nebraska","boyd"
"49220",-98.39404296875,42.9202690124512,1629,49220,"nebraska","boyd"
"49221",-98.3367462158203,42.8916206359863,1629,49221,"nebraska","boyd"
"49222",-98.3138275146484,42.8744316101074,1629,49222,"nebraska","boyd"
"49223",-98.3138275146484,42.7827568054199,1629,49223,"nebraska","boyd"
"49224",-98.3023681640625,42.777027130127,1629,49224,"nebraska","boyd"
"49225",-98.3080978393555,42.7483825683594,1629,49225,"nebraska","boyd"
"49226",-98.3596649169922,42.7541122436523,1629,49226,"nebraska","boyd"
"49227",-98.4112319946289,42.7541122436523,1629,49227,"nebraska","boyd"
"49228",-98.47998046875,42.7541122436523,1629,49228,"nebraska","boyd"
"49229",-98.5258178710938,42.759838104248,1629,49229,"nebraska","boyd"
"49230",-98.5773849487305,42.7713012695312,1629,49230,"nebraska","boyd"
"49231",-98.6232223510742,42.7942199707031,1629,49231,"nebraska","boyd"
"49232",-98.6747970581055,42.7884902954102,1629,49232,"nebraska","boyd"
"49233",-98.7091674804688,42.7999458312988,1629,49233,"nebraska","boyd"
"49234",-98.7435455322266,42.817138671875,1629,49234,"nebraska","boyd"
"49235",-98.7951126098633,42.817138671875,1629,49235,"nebraska","boyd"
"49236",-98.9039764404297,42.8457832336426,1629,49236,"nebraska","boyd"
"49237",-98.9211654663086,42.8687019348145,1629,49237,"nebraska","boyd"
"49238",-98.9727249145508,42.8858909606934,1629,49238,"nebraska","boyd"
"49239",-99.0185623168945,42.8916206359863,1629,49239,"nebraska","boyd"
"49240",-99.0529479980469,42.8744316101074,1629,49240,"nebraska","boyd"
"49241",-99.0987777709961,42.8629722595215,1629,49241,"nebraska","boyd"
"49242",-99.1331634521484,42.8629722595215,1629,49242,"nebraska","boyd"
"49243",-99.1847229003906,42.8343276977539,1629,49243,"nebraska","boyd"
"49244",-99.2649383544922,42.8056755065918,1629,49244,"nebraska","boyd"
